Account,Oracle Super Category,Oracle Category,PRISM Commodity Level 1,PRISM Commodity Level 2,PRISM Commodity Level 3,PRISM Commodity Level 4,PRISM Commodity Level 5,iProc Product Category,PRISM Commodity Name,Category Name,Commodity Level,Account,Financial Class,Special Reporting,Purchase Type,Change Type
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Book (6800),,BOOK,Book (6800),Book ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Box (6800),,BOX,Box (6800),Box ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Bucket (6800),,BUCKET,Bucket (6800),Bucket ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Burette (6800),,BURETTE,Burette (6800),Burette ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Bushing (6800),,BUSHING,Bushing (6800),Bushing ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Buzzer (6800),,BUZZER,Buzzer (6800),Buzzer ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Cable (6800),,CABLE,Cable (6800),Cable ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Calculator (6800),,CALCULATOR,Calculator (6800),Calculator ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Canister Cap (6800),,CANISTER CAP,Canister Cap (6800),Canister Cap ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Canister Lid (6800),,CANISTER LID,Canister Lid (6800),Canister Lid ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Caster (6800),,CASTER,Caster (6800),Caster ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Chamber (6800),,CHAMBER,Chamber (6800),Chamber ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Chassis (6800),,CHASSIS,Chassis (6800),Chassis ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Clip (6800),,CLIP,Clip (6800),Clip ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Coil (6800),,COIL,Coil (6800),Coil ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Conductivity Cell (6800),,CONDUCTIVITY CELL,Conductivity Cell (6800),ConductIVity Cell ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Conn (6800),,CONN,Conn (6800),Conn ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Control Console Assy (6800),,CONTROL CONSOLE ASSY,Control Console Assy (6800),Control Console Assy ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Core (6800),,CORE,Core (6800),Core ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Countersunk Screw (6800),,COUNTERSUNK SCREW,Countersunk Screw (6800),Countersunk Screw ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Coupling (6800),,COUPLING,Coupling (6800),Coupling ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Cpu (6800),,CPU,Cpu (6800),Cpu ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Crank (6800),,CRANK,Crank (6800),Crank ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Data (6800),,DATA,Data (6800),Data ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Detector (6800),,DETECTOR,Detector (6800),Detector ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Dialysate Sample Port (6800),,DIALYSATE SAMPLE PORT,Dialysate Sample Port (6800),Dialysate Sample Port ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Dialysate Sampling Connector (6800),,DIALYSATE SAMPLING CONNECTOR,Dialysate Sampling Connector (6800),Dialysate Sampling Connector ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Diasafe (6800),,DIASAFE,Diasafe (6800),Diasafe ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Dissolution Tank (6800),,DISSOLUTION TANK,Dissolution Tank (6800),Dissolution Tank ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Door (6800),,DOOR,Door (6800),Door ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Drip Chamber Clip (6800),,DRIP CHAMBER CLIP,Drip Chamber Clip (6800),Drip Chamber Clip ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Elbow (6800),,ELBOW,Elbow (6800),Elbow ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Fan (6800),,FAN,Fan (6800),Fan ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Fill/Drain Valve Assy (6800),,FILL/DRAIN VALVE ASSY,Fill/Drain Valve Assy (6800),Fill/Drain Valve Assy ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Filter (6800),,FILTER,Filter (6800),Filter ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Filter Label (6800),,FILTER LABEL,Filter Label (6800),Filter Label ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Flow Indicator (6800),,FLOW INDICATOR,Flow Indicator (6800),Flow Indicator ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Fuse (6800),,FUSE,Fuse (6800),Fuse ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Fuse Holder (6800),,FUSE HOLDER,Fuse Holder (6800),Fuse Holder ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Gauge (6800),,GAUGE,Gauge (6800),Gauge ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Grease (6800),,GREASE,Grease (6800),Grease ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Handle (6800),,HANDLE,Handle (6800),Handle ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Heater (6800),,HEATER,Heater (6800),Heater ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Heparin Pump (6800),,HEPARIN PUMP,Heparin Pump (6800),Heparin Pump ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Heparin Sensor (6800),,HEPARIN SENSOR,Heparin Sensor (6800),Heparin Sensor ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Heparin Stepper Motor (6800),,HEPARIN STEPPER MOTOR,Heparin Stepper Motor (6800),Heparin Stepper Motor ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Hex Nut 1/4-20 (6800),,HEX NUT 1/4-20,Hex Nut 1/4-20 (6800),Hex Nut 1/4-20 ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Holder - PD (6800),,HOLDER - PD,Holder - PD (6800),Holder - PD ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Hook (6800),,HOOK,Hook (6800),Hook ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Hose (6800),,HOSE,Hose (6800),Hose ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Hour Meter (6800),,HOUR METER,Hour Meter (6800),Hour Meter ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Housing (6800),,HOUSING,Housing (6800),Housing ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Ic (6800),,IC,Ic (6800),Ic ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Indicator (6800),,INDICATOR,Indicator (6800),Indicator ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Instructions (6800),,INSTRUCTIONS,Instructions (6800),Instructions ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Keypad (6800),,KEYPAD,Keypad (6800),Keypad ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Lid (6800),,LID,Lid (6800),Lid ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Manual (6800),,MANUAL,Manual (6800),Manual ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Nylon Spacer (6800),,NYLON SPACER,Nylon Spacer (6800),Nylon Spacer ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Peg (6800),,PEG,Peg (6800),Peg ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Pharma - Nitrostat (6800),,PHARMA - NITROSTAT,Pharma - Nitrostat (6800),Pharma - Nitrostat ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Plate (6800),,PLATE,Plate (6800),Plate ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Port (6800),,PORT,Port (6800),Port ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Protection Cap (6800),,PROTECTION CAP,Protection Cap (6800),Protection Cap ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Pump Housing (6800),,PUMP HOUSING,Pump Housing (6800),Pump Housing ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Reducer (6800),,REDUCER,Reducer (6800),Reducer ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Spare Parts - Abpm Cuff (6800),,SPARE PARTS - ABPM CUFF,Spare Parts - Abpm Cuff (6800),Spare Parts - Abpm Cuff ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Spare Parts - Assembly (6800),,SPARE PARTS - ASSEMBLY,Spare Parts - Assembly (6800),Spare Parts - Assembly ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Spare Parts - Balance Chamber (6800),,SPARE PARTS - BALANCE CHAMBER,Spare Parts - Balance Chamber (6800),Spare Parts - Balance Chamber ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Spare Parts - Ball (6800),,SPARE PARTS - BALL,Spare Parts - Ball (6800),Spare Parts - Ball ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Spare Parts - Ball Valve (6800),,SPARE PARTS - BALL VALVE,Spare Parts - Ball Valve (6800),Spare Parts - Ball Valve ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Spare Parts - Blank Plates (6800),,SPARE PARTS - BLANK PLATES,Spare Parts - Blank Plates (6800),Spare Parts - Blank Plates ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Spare Parts - Block (6800),,SPARE PARTS - BLOCK,Spare Parts - Block (6800),Spare Parts - Block ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Spare Parts - Blood Pump (6800),,SPARE PARTS - BLOOD PUMP,Spare Parts - Blood Pump (6800),Spare Parts - Blood Pump ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Spare Parts - Board (6800),,SPARE PARTS - BOARD,Spare Parts - Board (6800),Spare Parts - Board ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Spare Parts - Bob (6800),,SPARE PARTS - BOB,Spare Parts - Bob (6800),Spare Parts - Bob ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Spare Parts - Bracket (6800),,SPARE PARTS - BRACKET,Spare Parts - Bracket (6800),Spare Parts - Bracket ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Spare Parts - Brake (6800),,SPARE PARTS - BRAKE,Spare Parts - Brake (6800),Spare Parts - Brake ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Spare Parts - Breaker (6800),,SPARE PARTS - BREAKER,Spare Parts - Breaker (6800),Spare Parts - Breaker ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Spare Parts - Bridge Rectifier 25 Amp (6800),,SPARE PARTS - BRIDGE RECTIFIER 25 AMP,Spare Parts - Bridge Rectifier 25 Amp (6800),Spare Parts - Bridge Rectifier 25 Amp ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Spare Parts - Button (6800),,SPARE PARTS - BUTTON,Spare Parts - Button (6800),Spare Parts - Button ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Spare Parts - Cable Tie (6800),,SPARE PARTS - CABLE TIE,Spare Parts - Cable Tie (6800),Spare Parts - Cable Tie ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Spare Parts - Capacitor (6800),,SPARE PARTS - CAPACITOR,Spare Parts - Capacitor (6800),Spare Parts - Capacitor ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Spare Parts - Circlip (6800),,SPARE PARTS - CIRCLIP,Spare Parts - Circlip (6800),Spare Parts - Circlip ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Spare Parts - Compact Flash Card (6800),,SPARE PARTS - COMPACT FLASH CARD,Spare Parts - Compact Flash Card (6800),Spare Parts - Compact Flash Card ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Spare Parts - Dci Cable (6800),,SPARE PARTS - DCI CABLE,Spare Parts - Dci Cable (6800),Spare Parts - Dci Cable ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Spare Parts - Dialyser Coupling (6800),,SPARE PARTS - DIALYSER COUPLING,Spare Parts - Dialyser Coupling (6800),Spare Parts - Dialyser Coupling ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Spare Parts - Dialysis Tubing Assy (6800),,SPARE PARTS - DIALYSIS TUBING ASSY,Spare Parts - Dialysis Tubing Assy (6800),Spare Parts - Dialysis Tubing Assy ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Spare Parts - Diascan Thermistor Probe (6800),,SPARE PARTS - DIASCAN THERMISTOR PROBE,Spare Parts - Diascan Thermistor Probe (6800),Spare Parts - Diascan Thermistor Probe ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Spare Parts - Digital Board (6800),,SPARE PARTS - DIGITAL BOARD,Spare Parts - Digital Board (6800),Spare Parts - Digital Board ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
